"Freq.","Gain","Phase","Group Delay"
"30868.96","11.91264","-288.944279411587","7.3424E-06"
"31245.34","11.90411","-289.907356369214","7.107657E-06"
"31626.32","11.89583","-290.851315785809","6.882636E-06"
"32011.94","11.88782","-291.776813094607","6.666749E-06"
"32402.26","11.88008","-292.684519200289","6.459805E-06"
"32797.34","11.87264","-293.57502951257","6.26111E-06"
"33197.24","11.8655","-294.448936535242","6.07034E-06"
"33602.01","11.85866","-295.306798619146","5.887121E-06"
"34011.72","11.85213","-296.149157807568","5.711067E-06"
"34426.43","11.84591","-296.976506591816","5.541774E-06"
"34846.19","11.84","-297.78935294025","5.37902E-06"
"35271.07","11.8344","-298.58813662289","5.222296E-06"
"35701.13","11.82911","-299.373310764005","5.071493E-06"
"36136.43","11.82412","-300.145298125959","4.926226E-06"
"36577.04","11.81942","-300.904503028217","4.786289E-06"
"37023.03","11.81502","-301.651290615181","4.651306E-06"
"37474.45","11.81091","-302.386036034479","4.52118E-06"
"37931.38","11.80707","-303.109085559413","4.395617E-06"
"38393.87","11.80351","-303.820768670209","4.274409E-06"
"38862.01","11.80021","-304.521402934492","4.157346E-06"
"39335.85","11.79716","-305.211293094789","4.04429E-06"
"39815.47","11.79437","-305.890719894904","3.934974E-06"
"40300.94","11.79181","-306.559968718071","3.829339E-06"
"40792.33","11.78949","-307.219294954743","3.7271E-06"
"41289.71","11.78739","-307.868951293616","3.628193E-06"
"41793.16","11.78551","-308.509180026917","3.532485E-06"
"42302.75","11.78383","-309.140207243902","3.43976E-06"
"42818.54","11.78235","-309.762251548762","3.349964E-06"
"43340.63","11.78106","-310.375526296273","3.262951E-06"
"43869.08","11.77995","-310.980229023204","3.178579E-06"
"44403.98","11.77902","-311.576560360781","3.096827E-06"
"44945.39","11.77825","-312.164697484405","3.017473E-06"
"45493.41","11.77764","-312.744818924615","2.940495E-06"
"46048.12","11.77718","-313.317097918305","2.865792E-06"
"46609.58","11.77687","-313.881701069653","2.793304E-06"
"47177.89","11.77669","-314.438779164321","2.722867E-06"
"47753.13","11.77664","-314.988474545333","2.654433E-06"
"48335.39","11.77671","-315.530948786551","2.588E-06"
"48924.74","11.77689","-316.066333326283","2.523416E-06"
"49521.28","11.77719","-316.594767989445","2.46065E-06"
"50125.09","11.77758","-317.116369059035","2.399572E-06"
"50736.27","11.77807","-317.631279941912","2.340256E-06"
"51354.89","11.77866","-318.139606550658","2.282497E-06"
"51981.07","11.77933","-318.641474147251","2.226348E-06"
"52614.87","11.78007","-319.136988473487","2.171692E-06"
"53256.4","11.7809","-319.626259695942","2.118504E-06"
"53905.76","11.78179","-320.109399627868","2.06675E-06"
"54563.03","11.78275","-320.586497276172","2.016317E-06"
"55228.32","11.78376","-321.05765957723","1.967253E-06"
"55901.71","11.78483","-321.522978235815","1.919446E-06"
"56583.32","11.78596","-321.982550053132","1.872903E-06"
"57273.25","11.78713","-322.436464238845","1.827559E-06"
"57971.58","11.78834","-322.884802235663","1.783368E-06"
"58678.43","11.7896","-323.327654064838","1.740324E-06"
"59393.89","11.79089","-323.765094957125","1.698355E-06"
"60118.08","11.79221","-324.197214815206","1.65748E-06"
"60851.1","11.79357","-324.62408466303","1.617623E-06"
"61593.06","11.79495","-325.045780037134","1.578765E-06"
"62344.06","11.79635","-325.462376766579","1.540888E-06"
"63104.22","11.79777","-325.873946669062","1.503959E-06"
"63873.65","11.79922","-326.280557613813","1.467938E-06"
"64652.46","11.80068","-326.682282289703","1.432825E-06"
"65440.77","11.80215","-327.079183830875","1.398569E-06"
"66238.7","11.80363","-327.47133178078","1.365171E-06"
"67046.34","11.80512","-327.858784733935","1.332583E-06"
"67863.84","11.80662","-328.241604957354","1.300795E-06"
"68691.3","11.80813","-328.619858458179","1.269793E-06"
"69528.85","11.80963","-328.993601746164","1.239532E-06"
"70376.62","11.81114","-329.362895377058","1.210023E-06"
"71234.72","11.81265","-329.727797646662","1.181233E-06"
"72103.28","11.81416","-330.08835795829","1.15312E-06"
"72982.44","11.81567","-330.444640272805","1.125708E-06"
"73872.31","11.81717","-330.796691655856","1.098941E-06"
"74773.04","11.81866","-331.144571716762","1.072838E-06"
"75684.75","11.82015","-331.488327324519","1.047346E-06"
"76607.57","11.82163","-331.828010299508","1.022478E-06"
"77541.65","11.82311","-332.163675746815","9.982077E-07"
"78487.12","11.82457","-332.495369000017","9.745115E-07"
"79444.11","11.82603","-332.823135814689","9.513802E-07"
"80412.77","11.82747","-333.147030799107","9.288135E-07"
"81393.25","11.8289","-333.467097755544","9.067783E-07"
"82385.68","11.83032","-333.783382738381","8.852712E-07"
"83390.21","11.83172","-334.095930994345","8.642734E-07"
"84406.98","11.83311","-334.404788707053","8.437849E-07"
"85436.16","11.83449","-334.709997979784","8.237726E-07"
"86477.88","11.83585","-335.011605657957","8.042409E-07"
"87532.3","11.8372","-335.309651158967","7.851735E-07"
"88599.59","11.83853","-335.604179457447","7.665591E-07"
"89679.88","11.83985","-335.895230190844","7.483816E-07"
"90773.35","11.84115","-336.182847925542","7.306456E-07"
"91880.15","11.84243","-336.467069211802","7.133229E-07"
"93000.45","11.84369","-336.747937303494","6.964128E-07"
"94134.4","11.84494","-337.02548866919","6.799011E-07"
"95282.18","11.84618","-337.299764558054","6.637828E-07"
"96443.95","11.84739","-337.570801724186","6.480446E-07"
"97619.89","11.84859","-337.838638176276","6.326783E-07"
"98810.17","11.84977","-338.1033141559","6.176784E-07"
"100015","11.85093","-338.364862231048","6.030288E-07"
"101234.4","11.85207","-338.623322956081","5.887295E-07"
"102468.8","11.8532","-338.878731148503","5.747692E-07"
"103718.2","11.85431","-339.131119857104","5.611338E-07"
"104982.8","11.8554","-339.380526966837","5.47825E-07"
"106262.9","11.85648","-339.626987616471","5.34831E-07"
"107558.5","11.85753","-339.870534615286","5.221411E-07"
"108870","11.85857","-340.111200441298","5.097492E-07"
"110197.5","11.85959","-340.349021457819","4.976552E-07"
"111541.1","11.8606","-340.584028569235","4.858423E-07"
"112901.1","11.86158","-340.816256944465","4.743145E-07"
"114277.7","11.86255","-341.045736919029","4.630566E-07"
"115671.1","11.86351","-341.272501102494","4.520631E-07"
"117081.5","11.86444","-341.496578640268","4.413277E-07"
"118509.1","11.86536","-341.71800383683","4.308486E-07"
"119954.1","11.86626","-341.936807346956","4.206188E-07"
"121416.7","11.86715","-342.153018845822","4.106296E-07"
"122897.1","11.86802","-342.366667001232","4.008749E-07"
"124395.6","11.86887","-342.577783193181","3.913513E-07"
"125912.3","11.86971","-342.786395349078","3.820506E-07"
"127447.6","11.87053","-342.9925355394","3.729762E-07"
"129001.5","11.87134","-343.196229509099","3.641107E-07"
"130574.5","11.87213","-343.397506121301","3.55456E-07"
"132166.6","11.8729","-343.596395912813","3.470078E-07"
"133778.1","11.87366","-343.792922690688","3.387575E-07"
"135409.2","11.87441","-343.98711748417","3.30704E-07"
"137060.3","11.87514","-344.17900601551","3.228398E-07"
"138731.4","11.87586","-344.368614254619","3.151618E-07"
"140423","11.87656","-344.555968819208","3.076647E-07"
"142135.2","11.87725","-344.741098016198","3.003482E-07"
"143868.2","11.87792","-344.924024836738","2.932004E-07"
"145622.4","11.87858","-345.104778574037","2.862258E-07"
"147398","11.87923","-345.283383115127","2.794153E-07"
"149195.2","11.87987","-345.459861774027","2.727651E-07"
"151014.3","11.88049","-345.634240853581","2.662721E-07"
"152855.6","11.8811","-345.806543735308","2.599337E-07"
"154719.4","11.88169","-345.976797011805","2.537475E-07"
"156605.9","11.88228","-346.145021941391","2.477029E-07"
"158515.4","11.88285","-346.311244272205","2.418061E-07"
"160448.2","11.88341","-346.475486988327","2.360483E-07"
"162404.5","11.88395","-346.637772270874","2.30426E-07"
"164384.7","11.88449","-346.798123162375","2.249361E-07"
"166389.1","11.88502","-346.956563568778","2.195792E-07"
"168417.9","11.88553","-347.113114019687","2.143466E-07"
"170471.4","11.88603","-347.267797945609","2.0924E-07"
"172549.9","11.88653","-347.420637901907","2.042543E-07"
"174653.8","11.88701","-347.571653129413","1.993847E-07"
"176783.4","11.88748","-347.720867908295","1.946355E-07"
"178938.9","11.88794","-347.86830009278","1.899934E-07"
"181120.7","11.88839","-348.013972643095","1.854645E-07"
"183329.1","11.88883","-348.157908545535","1.810455E-07"
"185564.4","11.88927","-348.300123987079","1.76727E-07"
"187827","11.88969","-348.440641162516","1.725124E-07"
"190117.2","11.8901","-348.579478816901","1.683979E-07"
"192435.3","11.8905","-348.716659191345","1.643836E-07"
"194781.7","11.8909","-348.852199995929","1.604623E-07"
"197156.6","11.89129","-348.98612177699","1.566357E-07"
"199560.6","11.89167","-349.118442227946","1.528978E-07"
"201993.8","11.89204","-349.249179715068","1.492498E-07"
"204456.7","11.8924","-349.378355088279","1.456899E-07"
"206949.6","11.89275","-349.505984594816","1.422123E-07"
"209473","11.8931","-349.632088878799","1.388196E-07"
"212027.1","11.89343","-349.756684466449","1.355067E-07"
"214612.3","11.89377","-349.879789759008","1.322731E-07"
"217229.1","11.89409","-350.001420176445","1.291145E-07"
"219877.8","11.89441","-350.121597151157","1.260348E-07"
"222558.8","11.89471","-350.240333855058","1.230243E-07"
"225272.4","11.89502","-350.357649471767","1.200877E-07"
"228019.2","11.89531","-350.473561465627","1.172214E-07"
"230799.4","11.8956","-350.588084910724","1.144222E-07"
"233613.5","11.89588","-350.701236753494","1.116898E-07"
"236462","11.89616","-350.81303335989","1.090227E-07"
"239345.2","11.89643","-350.923491109582","1.064194E-07"
"242263.5","11.89669","-351.032625003467","1.038779E-07"
"245217.4","11.89695","-351.140451571641","1.013968E-07"
"248207.4","11.8972","-351.246985838548","9.897482E-08"
"251233.8","11.89745","-351.352243217342","9.661066E-08"
"254297","11.89769","-351.456239303401","9.430298E-08"
"257397.7","11.89792","-351.558988857504","9.205047E-08"
"260536.1","11.89815","-351.660505761967","8.985045E-08"
"263712.8","11.89837","-351.760806362337","8.770501E-08"
"266928.3","11.89859","-351.859903419645","8.560875E-08"
"270182.9","11.89881","-351.957812580156","8.356332E-08"
"273477.3","11.89902","-352.0545469196","8.156601E-08"
"276811.8","11.89922","-352.150121383577","7.961752E-08"
"280186.9","11.89942","-352.244549065321","7.771466E-08"
"283603.3","11.89962","-352.337844208702","7.585757E-08"
"287061.2","11.89981","-352.430019499935","7.404419E-08"
"290561.3","11.89999","-352.52108875583","7.227461E-08"
"294104.2","11.90017","-352.611065968429","7.054754E-08"
"297690.2","11.90035","-352.699962556265","6.886084E-08"
"301319.9","11.90052","-352.787792654002","6.721469E-08"
"304993.9","11.90069","-352.874568689318","6.560821E-08"
"308712.7","11.90086","-352.96030252508","6.403967E-08"
"312476.8","11.90102","-353.04500674952","6.250842E-08"
"316286.8","11.90118","-353.128694528637","6.101421E-08"
"320143.3","11.90133","-353.211378020694","5.955565E-08"
"324046.8","11.90148","-353.293067693144","5.813136E-08"
"327997.9","11.90163","-353.373776859027","5.674179E-08"
"331997.2","11.90178","-353.453516568291","5.538475E-08"
"336045.3","11.90191","-353.532298282616","5.406038E-08"
"340142.7","11.90205","-353.610134205614","5.276775E-08"
"344290","11.90219","-353.687035384812","5.150592E-08"
"348488","11.90232","-353.763012023456","5.027379E-08"
"352737.1","11.90244","-353.838077041299","4.907221E-08"
"357038","11.90257","-353.91223893495","4.789776E-08"
"361391.4","11.90269","-353.985510485883","4.675271E-08"
"365797.8","11.90281","-354.057901195665","4.563444E-08"
"370258","11.90293","-354.129422007918","4.454273E-08"
"374772.6","11.90304","-354.200083706493","4.347763E-08"
"379342.2","11.90315","-354.26989609871","4.243776E-08"
"383967.5","11.90326","-354.338869126071","4.142244E-08"
"388649.2","11.90337","-354.407013305734","4.04316E-08"
"393388","11.90347","-354.474338308226","3.94643E-08"
"398184.6","11.90357","-354.540854085295","3.852026E-08"
"403039.7","11.90367","-354.606570297956","3.759891E-08"
"407953.9","11.90376","-354.671496347975","3.669942E-08"
"412928.1","11.90386","-354.735641902394","3.582135E-08"
"417963","11.90395","-354.799016499943","3.496445E-08"
"423059.2","11.90404","-354.86162875022","3.412784E-08"
"428217.6","11.90413","-354.923488688389","3.331149E-08"
"433438.8","11.90421","-354.984603931635","3.251416E-08"
"438723.7","11.90429","-355.044984520266","3.173639E-08"
"444073.1","11.90438","-355.104639073977","3.097709E-08"
"449487.7","11.90446","-355.163576787055","3.023604E-08"
"454968.3","11.90453","-355.221805204858","2.951242E-08"
"460515.7","11.90461","-355.279333019609","2.8806E-08"
"466130.8","11.90468","-355.336169432097","2.811704E-08"
"471814.3","11.90476","-355.392322206731","2.744419E-08"
"477567.1","11.90483","-355.447799403423","2.678733E-08"
"483390.1","11.90489","-355.502609149959","2.614633E-08"
"489284.1","11.90496","-355.556759788835","2.552074E-08"
"495249.9","11.90503","-355.610259025758","2.490997E-08"
"501288.5","11.90509","-355.663114993835","2.431396E-08"
"507400.7","11.90515","-355.715334469906","2.373182E-08"
"513587.5","11.90522","-355.766926229002","2.316409E-08"
"519849.7","11.90527","-355.817897197763","2.260968E-08"
"526188.2","11.90533","-355.868254942969","2.206862E-08"
"532604","11.90539","-355.918006526534","2.154035E-08"
"539098.1","11.90545","-355.967159664735","2.102482E-08"
"545671.3","11.9055","-356.01572142222","2.052163E-08"
"552324.7","11.90555","-356.063699158245","2.003066E-08"
"559059.2","11.9056","-356.111099088025","1.955104E-08"
"565875.8","11.90565","-356.157928705903","1.908309E-08"
"572775.6","11.9057","-356.20419494867","1.862638E-08"
"579759.4","11.90575","-356.249904314321","1.818052E-08"
"586828.4","11.9058","-356.295063734878","1.774549E-08"
"593983.6","11.90584","-356.339679424135","1.732065E-08"
"601226.1","11.90589","-356.383758389455","1.690613E-08"
"608556.8","11.90593","-356.427306567038","1.650134E-08"
"615976.9","11.90598","-356.470330812742","1.610644E-08"
"623487.6","11.90602","-356.512837350937","1.572089E-08"
"631089.8","11.90606","-356.554832113698","1.534455E-08"
"638784.6","11.9061","-356.596321753226","1.497737E-08"
"646573.3","11.90614","-356.637311703762","1.461876E-08"
"654457","11.90617","-356.677808399286","1.426881E-08"
"662436.8","11.90621","-356.71781749534","1.392719E-08"
"670513.9","11.90625","-356.757345067747","1.35939E-08"
"678689.4","11.90628","-356.79639684006","1.326846E-08"
"686964.7","11.90632","-356.834978609743","1.295086E-08"
"695340.9","11.90635","-356.873095955145","1.264078E-08"
"703819.2","11.90638","-356.910754315345","1.233813E-08"
"712400.9","11.90641","-356.947959842754","1.204293E-08"
"721087.2","11.90645","-356.984716978476","1.175449E-08"
"729879.4","11.90648","-357.021031443174","1.147308E-08"
"738778.8","11.90651","-357.056909251046","1.119853E-08"
"747786.8","11.90654","-357.092354698287","1.093031E-08"
"756904.5","11.90656","-357.127373866847","1.06688E-08"
"766133.4","11.90659","-357.161971053887","1.041326E-08"
"775474.9","11.90662","-357.196151629499","1.016396E-08"
"784930.3","11.90664","-357.229921104234","9.920717E-09"
"794500.9","11.90667","-357.263283703353","9.683159E-09"
"804188.3","11.9067","-357.296244871494","9.451353E-09"
"813993.7","11.90672","-357.328808901514","9.225049E-09"
"823918.7","11.90674","-357.36098084579","9.004182E-09"
"833964.8","11.90677","-357.392765644059","8.788628E-09"
"844133.3","11.90679","-357.424167843369","8.578236E-09"
"854425.8","11.90681","-357.455191777866","8.372854E-09"
"864843.8","11.90683","-357.485842141689","8.172385E-09"
"875388.9","11.90685","-357.516123516318","7.976713E-09"
"886062.5","11.90687","-357.546040343508","7.785761E-09"
"896866.3","11.90689","-357.575596958681","7.599372E-09"
"907801.8","11.90691","-357.604797444518","7.417353E-09"
"918870.6","11.90693","-357.633646423479","7.239806E-09"
"930074.4","11.90695","-357.662148158635","7.066477E-09"
"941414.8","11.90697","-357.690306373825","6.897238E-09"
"952893.4","11.90699","-357.718125872142","6.732162E-09"
"964512.1","11.90701","-357.74561027128","6.570963E-09"
"976272.4","11.90702","-357.77276372867","6.413628E-09"
"988176.1","11.90704","-357.799590255597","6.260088E-09"
"1000225","11.90706","-357.826093436974","6.110141E-09"
